Lottery Number,Last Date Registration,Location,Contractor,Number of Apartments,Apartments for Natives,Registered,Registered Natives,Price per Meter,Grant,Natives Chance to win,non-Natives Chance to win,Region,country,ConstructionPermitName,ProjectStatus,LotteryId
2360,2024-02-13,אילת,"עמרם אברהם חברה לבנין בע""מ",63,31,6370,1709,12206.0,0,0.0181392627267407,0.0068654795108345,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2360
2361,2024-02-13,אילת,"שם שיכון ויזמות בע""מ",51,25,6056,1715,12206.0,0,0.0145772594752186,0.0059894033632803,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2361
2362,2024-02-13,אלעד,"הדס קפיטל (ז.ס.ב) בע""מ , גילת מגורים (ג-ר) בע""מ",160,56,21530,1954,17206.02,0,0.0286591606960081,0.0053126277073968,מרכז,ישראל,-,בתהליכי הגרלה,2362
2363,2024-02-13,אלעד,"אקה פיתוח ותשתיות בע""מ",134,46,21504,1954,17678.7,0,0.0235414534288638,0.0045012787723785,מרכז,ישראל,-,בתהליכי הגרלה,2363
2364,2024-02-13,אלעד,"אי.אס.איי אחזקות בע""מ",128,44,21263,1964,17886.96,0,0.0224032586558044,0.0043525571273122,מרכז,ישראל,-,בתהליכי הגרלה,2364
2365,2024-02-13,אלעד,"אפי קפיטל בינוי בע""מ",106,37,21309,1963,17541.81,0,0.0188487009679062,0.0035666287604672,מרכז,ישראל,-,בתהליכי הגרלה,2365
2366,2024-02-13,אלעד,"גלנור - ידות אלעד בע""מ",102,35,20935,1919,18268.38,0,0.0182386659718603,0.0035233487589398,מרכז,ישראל,-,בתהליכי הגרלה,2366
2367,2024-02-13,אלעד,"הדס קפיטל מכרזים פ-ג בע""מ",83,29,21115,1949,17621.37,0,0.0148794253463314,0.0028174893039757,מרכז,ישראל,-,בתהליכי הגרלה,2367
2368,2024-02-13,אלעד,זוהר וצפריר שרבט יזמות ובניה (2001),77,26,21221,1955,17218.89,0,0.0132992327365728,0.0026471504204297,מרכז,ישראל,החלטת ועדה (היתר בתנאים),בתהליכי הגרלה,2368
2369,2024-02-13,אלעד,משולם לוינשטין הנדסה וקבלנות ב,77,26,20872,1914,18284.76,0,0.0135841170323928,0.0026901571895769,מרכז,ישראל,-,בתהליכי הגרלה,2369
2370,2024-02-13,אלעד,"רן - אור הנדסה בניה והשקעות בע""מ",64,22,21076,1949,17712.63,0,0.0112878399179066,0.0021958488001254,מרכז,ישראל,החלטת ועדה (היתר בתנאים),בתהליכי הגרלה,2370
2325,2024-02-13,אשקלון,"אחים בוסקילה בע""מ",90,31,19919,2994,12479.22,0,0.0103540414161656,0.0034859675036927,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2325
2326,2024-02-13,אשקלון,"א.א.י.אבו החזקות בע""מ",73,25,19860,3098,12962.43,0,0.0080697224015493,0.0028636200930676,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2326
2327,2024-02-13,אשקלון,"י.ח. דמרי בניה ופיתוח בע""מ",73,25,20204,3224,13315.77,0,0.0077543424317617,0.0028268551236749,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2327
2328,2024-02-13,אשקלון,עיוש רפאל בעמ,51,17,19534,3099,12960.09,0,0.0054856405292029,0.0020687557042896,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2328
2329,2024-02-13,אשקלון,"אחים בוסקילה בע""מ",45,15,19738,3155,12674.61,0,0.0047543581616481,0.0018090815895796,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2329
2330,2024-02-13,אשקלון,"י.ח. דמרי בניה ופיתוח בע""מ",42,14,19750,3186,13157.82,0,0.0043942247332077,0.0016904129437333,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2330
2331,2024-02-13,אשקלון,"אייל פרץ יזמות ונדל""ן 2011 בע""מ",41,14,19621,3178,12962.43,0,0.0044052863436123,0.0016420361247947,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2331
2332,2024-02-13,אשקלון,"א.ד.מ. בוני ישראל יזמות ובניה בע""מ",41,14,19237,3109,13125.06,0,0.0045030556449018,0.0016741071428571,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2332
2333,2024-02-13,אשקלון,"מ.א.י אביבי ייזום ובנייה בע""מ",39,13,19108,3061,13258.44,0,0.0042469781117281,0.0016202405434037,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2333
2334,2024-02-13,אשקלון,"אורות גת בע""מ",38,13,19331,3072,12674.61,0,0.0042317708333333,0.0015376099391106,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2334
2335,2024-02-13,אשקלון,"בובליל נכסים בע""מ",13,4,19311,3006,12515.49,0,0.0013306719893546,0.0005519779208831,דרום,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2335
2381,2024-02-13,בית דגן,"קלוד נחמיאס יזום והשקעות בע""מ",63,22,21728,406,13816.53,0,0.0541871921182266,0.0019228965387862,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2381
2382,2024-02-13,"בני עי""ש","אסיה סיירוס פיתוח וייזום בע""מ",176,61,11189,317,14968.98,0,0.1924290220820189,0.0105776306107431,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2382
2383,2024-02-13,"בני עי""ש","רייסדור יזמות בע""מ",138,48,10464,325,14811.03,0,0.1476923076923077,0.0088766150507939,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2383
2384,2024-02-13,"בני עי""ש","מגידו י.ק. יזום בע""מ",80,28,10396,328,14157.0,0,0.0853658536585365,0.0051648788239968,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2384
2385,2024-02-13,"בני עי""ש",י.ע.ו. חברה לבניה פיתוח והשקעו,72,25,10169,311,15268.5,0,0.0803858520900321,0.004767701359302,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2385
2386,2024-02-13,"בני עי""ש","מימושים מגשימים פוטנציאל בע""מ",53,18,10103,309,15268.5,0,0.058252427184466,0.0035736164998978,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2386
2387,2024-02-13,"בני עי""ש","אדור א.ד. פרוייקטים בע""מ",37,12,10111,312,15268.5,0,0.0384615384615384,0.0025512807429329,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2387
2316,2024-02-13,ירושלים,קוטלר עדיקא חברה לבניה בעמ,46,16,11832,7242,29544.84,0,0.0022093344380005,0.0065359477124183,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2316
2336,2024-02-13,מודיעין-מכבים-רעות,"נתנאל גרופ בע""מ",70,24,24206,2180,22131.72,0,0.0110091743119266,0.0020884409334422,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2336
2337,2024-02-13,מודיעין-מכבים-רעות,"רן - אור הנדסה בניה והשקעות בע""מ",61,21,23605,2182,22131.72,0,0.0096241979835013,0.0018671521262194,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2337
2338,2024-02-13,מודיעין-מכבים-רעות,"עיר דוד - בניה ופיתוח (1993) בע""מ",56,19,23440,2183,22131.72,0,0.0087036188731103,0.0017406030954509,מרכז,ישראל,טרם הוגשה בקשה,בתהליכי הגרלה,2338
